Date,date_type,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Administered_Dose1_Pop_Pct,Series_Complete_Daily,Series_Complete_Cumulative,Booster_Daily,Booster_Cumulative,Column1,Week_Total,Week_Dose_1,Week_Complete_series,Week_Booster
2023/3/15 0:00,Admin,11,IN,1086,11151158,231,4342468,64.5,114,3891194,200,1987230,1,,,,
2023/3/14 0:00,Admin,11,IN,1094,11150072,208,4342237,64.5,115,3891080,228,1987030,,,,,
2023/3/13 0:00,Admin,11,IN,998,11148978,188,4342029,64.5,123,3890965,212,1986802,,,,,
2023/3/12 0:00,Admin,11,IN,162,11147980,30,4341841,64.5,11,3890842,33,1986590,,,,,
2023/3/11 0:00,Admin,10,IN,364,11147818,44,4341811,64.5,40,3890831,74,1986557,,,,,
2023/3/10 0:00,Admin,10,IN,1002,11147454,210,4341767,64.5,114,3890791,236,1986483,,,,,
2023/3/9 0:00,Admin,10,IN,1146,11146452,228,4341557,64.5,138,3890677,219,1986247,,,,,
2023/3/8 0:00,Admin,10,IN,1115,11145306,188,4341329,64.5,118,3890539,229,1986028,1,,,,
2023/3/7 0:00,Admin,10,IN,1172,11144191,217,4341141,64.5,170,3890421,199,1985799,,,,,
2023/3/6 0:00,Admin,10,IN,1168,11143019,216,4340924,64.5,110,3890251,254,1985600,,,,,
2023/3/5 0:00,Admin,10,IN,198,11141851,33,4340708,64.5,16,3890141,32,1985346,,,,,
2023/3/4 0:00,Admin,9,IN,401,11141653,61,4340675,64.5,42,3890125,65,1985314,,,,,
2023/3/3 0:00,Admin,9,IN,1155,11141252,266,4340614,64.5,111,3890083,235,1985249,,,,,
2023/3/2 0:00,Admin,9,IN,1196,11140097,222,4340348,64.5,135,3889972,222,1985014,,,,,
2023/3/1 0:00,Admin,9,IN,1274,11138901,245,4340126,64.5,137,3889837,248,1984792,1,,,,
2023/2/28 0:00,Admin,9,IN,1397,11137627,252,4339881,64.5,138,3889700,281,1984544,,,,,
2023/2/27 0:00,Admin,9,IN,1340,11136230,283,4339629,64.5,141,3889562,251,1984263,,,,,
2023/2/26 0:00,Admin,9,IN,180,11134890,31,4339346,64.5,20,3889421,17,1984012,,,,,
2023/2/25 0:00,Admin,8,IN,431,11134710,56,4339315,64.5,28,3889401,78,1983995,,,,,
2023/2/24 0:00,Admin,8,IN,1356,11134279,264,4339259,64.5,131,3889373,249,1983917,,,,,
2023/2/23 0:00,Admin,8,IN,1334,11132923,243,4338995,64.5,159,3889242,268,1983668,,,,,
